Business,Description of Item Donated,Method of Receipt,Status,Special Instructions,✔ Cert,Inputted,Title,Display Section (Category),Donor Name,Donor Website,For Fulfillment Name,Donor Email,Location - Packaging?,Descriptor Added to Title,Short Description (~ 10 words),Long Description,Estimated Value,Start Bid 33%,Starting Bid,Location,Image URLs
Winchester Mystery House,Mansion Tour for Two Adults ($86),Email,Received,,Y,,Winchester Mystery House - Mansion Tour for Two Adults ($86) (E),Entertainment/Activities,Winchester Mystery House,https://winchestermysteryhouse.com/,,info@winchestermysteryhouse.com,,Mansion Tour for Two Adults ($86),Mansion Tour for Two Adults ($86),"Two (2) adult tickets for a 1-hour guided tour through the Winchester Mystery House.

The Winchester Mystery House is an architectural wonder and historic landmark in San Jose, CA that was once the personal residence of Sarah Lockwood Pardee Winchester, the widow of William Wirt Winchester and heiress to a large portion of the Winchester Repeating Arms fortune.

Guided Mansion Tour through 110 of the 160 rooms of Sarah Winchester’s stately mansion, known around the world as the Winchester Mystery House. Come see the bizarre attributes that give the mansion its name! The mansion tour includes access to the Sarah Winchester Victorian Garden Tour. Tour Duration: 1 Hour

Restrictions:
Cannot be used with any other discount. 
Not valid for Group tours or Special Events.
Expires 3/20/2027

Located in San Jose
",86,28.38,25,San Jose,
Subpar Miniature Golf,Six (6) Mini Golf Rounds ($90),Mail,Received,,Y,,Subpar Miniature Golf - Six (6) Mini Golf Rounds ($90),Entertainment/Activities,Subpar Miniature Golf,https://www.subparminigolf.com/,,,,Six (6) Mini Golf Rounds ($90),Six (6) Mini Golf Rounds ($90),"Six (6) Mini Golf Rounds at Subpar Miniature Golf

Take a tour around San Francisco and play through all your favorite landmarks at Subpar SF or a tour of Alameda County and play through all your favorite East Bay landmarks at Subpar Alameda! The holes vary from those that even first time golfers can find success on, to those that will challenge the seasoned veteran.

Includes one 18-hole round of golf for six (6) golfers. No food / drink included. No expiration.

Located in Ghiradelli Square, SF and in Alameda
",90,29.7,30,"San Francisco, Alameda",
Berkeley Repertory Theatre,Two (2) Tickets ($160),Email,Received,,Y,,Berkeley Repertory Theatre - Two (2) Tickets ($160) (E),Entertainment/Activities,Berkeley Repertory Theatre,https://www.berkeleyrep.org/,,info@berkeleyrep.org,,Two (2) Tickets ($160),Two (2) Tickets ($160),"Two (2) tickets for any regular season Berkeley Repertory Theatre show.
May not be valid for some regular season productions or dates and not valid for most special events.

Check redemption form and berkeleyrep.org/redeem or contact the box office @ 510.647.2949, or customerservice@berkeleyrep.org.

Berkeley Repertory Theatre has grown from a storefront stage to an international leader in innovative theatre. Known for its ambition, relevance, and excellence, as well as its adventurous audience, the nonprofit has provided a welcoming home for emerging and established artists since 1968. Located in Berkeley, CA.

Voucher is valid for available performances on Tuesday (7pm), Thursday (1 or 8pm), Friday (8pm) or Sunday (7pm), must be redeemed at least 10 days before show date and may be submitted online, by mail or in person.

Expires 3/20/2028",160,52.8,50,Berkeley,
American Gymnastics Club,4 Week Session of Gymnastics Classes,Email,Received,,Y,,American Gymnastics Club - 4 Week Session of Gymnastics Classes (E),Kid Camps & Activities,American Gymnastics Club,https://www.americangymnasticsclub.com/,,judah@americangymnastics.com,,4 Week Session of Gymnastics Classes,4 Week Session of Gymnastics Classes,"Four (4) Week Session of Gymnastic Classes at American Gymnastics Club

American Gymnastics Club is San Francisco’s finest gymnastics club, offering a comprehensive blend of recreational and competitive instruction. Classes are available at all levels, from beginning to competitive. We maintain a student-teacher ratio of 8 to 1 or fewer to facilitate individualized training. Our expert staff has extensive experience in teaching, as well as competition, thus each instructor brings his or her own first-hand knowledge and background into each session.

Restrictions:
New students only
Good at both 390 Bayshore Blvd and 2520 Judah St locations

Expires 12/2027
",198,65.34,65,San Francisco,
Lawrence Hall of Science,Four (4) Admission Tickets ($100),Email,Received,,Y,,Lawrence Hall of Science - Four (4) Admission Tickets ($100),Entertainment/Activities,Lawrence Hall of Science,https://lawrencehallofscience.org/,,lhsreg@berkeley.edu,,Four (4) Admission Tickets ($100),Four (4) Admission Tickets ($100),"Four (4) Same-Day Admission Passes to The Lawrence

The Lawrence Hall of Science is UC Berkeley's world-renowned science center and a favorite destination for science fun for more than 50 years. Discover something new, spark your imagination, and get hands-on, feet-on and brain-on when you visit our exhibits for all ages. Explore science by doing science.

Expires 3/20/2028",100,33,30,Berkeley,
San Jose Giants,Eight (8) Game Flex Pack ($144),Mail,Received,,Y,,San Jose Giants - Eight (8) Game Flex Pack ($144),Sports Tickets/Memorabilia,SJ Giants,https://www.mlb.com/giants,Eddie Torres,hcortestorres@sjgiants.com,,Eight (8) Game Flex Pack ($144),Eight (8) Game Flex Pack ($144),"2025 San Jose Giants Eight (8) Game Flex Pack

Come support the San Jose Giants this season and watch the up and coming players in the SF Giants’ Single A baseball team! 
Includes eight (8) undated Bowl Reserved  tickets to 2025 regular season home games. Once games and seats are selected, tickets can be delivered via email or left at Will Call. Please note that seat and game selections are subject to availability. Not valid July 4.

Located at Excite Ballpark, 588 E. Alma Ave, San Jose

Sjgiants.com",144,47.52,45,San Jose,
On Waverly,On Waverly - $25 Giftcard & Books,Pickup,Received,,Y,,On Waverly - On Waverly - $25 Giftcard & Books,"Home, Pets & Retail",On Waverly,https://www.onwaverly.com/,,,,On Waverly - $25 Giftcard & Books,On Waverly - $25 Giftcard & Books,"$25 Gift Card & Books

On Waverly is an Asian American Pacific Islander (AAPI) centered shop and creative space located in the heart of San Francisco's Chinatown. Founded in 2023 by sisters Cynthia and Jennifer Huie, On Waverly is dedicated to showcasing the incredible talents of AAPI artists, authors, and makers. Our passion lies in curating a diverse collection of unique products and hosting engaging events that inspire and spark meaningful conversations.

At On Waverly, we strive to create a vibrant, resonant space where the AAPI community can exhibit their work, share their stories, and foster deep connections. Whether you're exploring our carefully selected offerings or attending one of our dynamic events, you'll find a welcoming environment that celebrates and uplifts AAPI culture. 

Located at 162 Waverly Place in Chinatown

Included:
$25 Gift Card
Shell Song hardcover book
Ruby Lost and Found paperback book
On Waverly tote bag

",75,24.75,25,San Francisco Chinatown,
Computer History Museum,Four (4) Admission Tickets ($86),Mail,Received,with EC,Y,,Computer History Museum - Four (4) Admission Tickets ($86),Entertainment/Activities,Computer History Museum,www.computerhistory.org,,,,Four (4) Admission Tickets ($86),Four (4) Admission Tickets ($86),"Four (4) admission tickets to the Computer History Museum

Enjoy free admission for four (4) to the Computer Science Museum where you can sit in a Wwaymo self-driving car, learn Photoshop from the pros, and discover why computing is more than 2000 years old. Explore exhibits that inform and inspire, or satisfy your curiousity with hands-on activities and vintage computing demonstrations. From the Apollo Guidance Computer that took humankind to the moon to the first Apple computer that launched the company into stardom, discover the people and stories behind the innovations that have revolutionized our world. 

www.computerhistory.org
Located at 1401 N. Shoreline Blvd, Mountain View
No expiration",86,28.38,25,Mountain View,
LOLA North Beach,$50 Gift Card,Pickup,Needs Pickup,Ghirardelli location,N,,LOLA North Beach - $50 Gift Card,"Home, Pets & Retail",LOLA North Beach,https://www.lolaofnorthbeach.com/,,amy@lolaofnorthbeach.com,,$50 Gift Card,$50 Gift Card,"$50 Gift Certificate to LOLA San Francisco

LOLA San Francisco is a boutique stationery and gift store with multiple locations throughout SF, including Ghirardelli Square, Anchorage Square, Pier 39. Unfortunately they are no longer at their original North Beach location.

No cash back. Must be redeemed in full.

https://www.lolaofnorthbeach.com/

No expiration",50,16.5,20,San Francisco,
Napa Valley Bike Tours,Cruiser Bike Rental for Two ($108),Email,Received,,Y,,Napa Valley Bike Tours - Cruiser Bike Rental for Two ($108) (E),Entertainment/Activities,Napa Valley Bike Tours,https://napavalleybiketours.com/,,info@napavalleybiketours.com,,Cruiser Bike Rental for Two ($108),Cruiser Bike Rental for Two ($108),"One-Day Cruiser Bike Rental for Two (2)

This certificate allows you to rent two Cruiser Bikes from our Downtown Napa, St Helena, or Yountville shop locations. Your rental also includes helmets, handlebar bags and a lock. There’s no better way to experience the beauty of Napa Valley than from the seat of a bicycle. Will bike for wine!

No expiration date.",108,35.64,35,"Downtown Napa, St Helena, Yountville",
Movement Gyms,Two (2) Intro to rope climbing passes,Mail,Received,,Y,,Movement Gyms - Two (2) Intro to rope climbing passes,Health & Wellness,Movement Gyms,https://movementgyms.com/,,sanfrancisco@movementgyms.com,,Two (2) Intro to rope climbing passes,Two (2) Intro to rope climbing passes,"Two (2) Intro to Rope Climbing or Bouldering Lessons at Movement San Francisco

Intro to Rope Climbing: Learn the basics of knot tying and belay technique in this hour-long intro lesson! Designed for people with little or no climbing experience, this course teachers the skills needed to rope climb independently at our facilities and is a great first-time climbing experience. The lesson includes gear rental (shoes and harness) and a one-day pass. At the end of class, students receive a temporary belay card so they can continue to climb and belay for the rest of the day.

Intro to Bouldering: Learn how to navigate the bouldering area, fall properly, and explore a couple of key climbing techniques. Climbers will have an opportunity to practice basic climbing techniques with one of our instructors and receive feedback.

https://movementgyms.com/

Located at 924 Mason St, SF

Restrictions:
Participants must be 13 years or older
Reservations required
Expires 3/14/2026
",64,21.12,25,Napa,
Natural Resources,Postpartum Family Membership ($125),Email,Pending,,Y,,Natural Resources - Postpartum Family Membership ($125) (E),Health & Wellness,Natural Resources All Families Foundation,www.naturalresources-sf.com,Danita,info@naturalresources-sf.com,,Postpartum Family Membership ($125),Postpartum Family Membership ($125),"Postpartum Family Membership at Natural Resources 

Once baby arrives, the questions begin! How to best navigate naps, potty training, transitioning to solids, and more. Oh and the diapers! So many diapers. And testing out this bottle nipple no that one; trying multiple pacifiers to know which one is the one.
Handle it all with a bit less stress with this Postpartum Family Membership (“Baby & Me”) and get 12 months of savings & perks. Membership runs for 1 year from date of purchase, and includes:
✧ Unlimited FREE New Parent Circles + Lactation Support Circles
✧ Up to 33% off Parent classes and groups (Does NOT include prenatal classes)
✧ Other FREE Classes (fee for non-members)
✧ 5% off all regularly priced merchandise
✧ A discount on your first in-home breastfeeding consultation with one of our IBCLC Breastfeeding Consultants
✧ FREE Members - only book library
✧ Discounts on baby scale, breast pump, birth tub & TENS machine rentals
✧ Access to our members-only Baby Carrier Trials
✧ Discounts on consecutive year membership renewals (within 90 days of your membership expiration)
✧ Plus special member only sales and offers throughout the year

The Natural Resources All Families Foundation (“Natural Resources”) is a 501c3 that serves expecting and new families of all income levels through education, empowerment, and community. Our Mission is to Nurture Families from Pregnancy to Early Childhood. While specializing in evidence-based and conscious parenting, Natural Resources ultimately prepares parents to make informed decisions that support the optimal development of their newborn and their family. 

Deeply rooted in best practices for pregnancy, labor, birth, and early parenting, Natural Resources offers holistic classes, effective products, and a warm and inclusive community, all with the goal of nurturing families from pregnancy through early childhood.  The organization is extremely privileged to interact with and support parents and families during this monumental time in their lives, and when, at times, family members may feel particularly vulnerable.

Located at 1051 Valencia St.
",125,41.25,40,San Francisco,
Habbi Habbi,Bilingual books & toys with Habbi Habbi ($190),Email,Received,"    (A) They can email us directly at info@habbihabbi.com 
    (B) Copying you (the auction organizer) to 
    (C) Confirm that they are winner & how much they paid for auction item  
    (D) Confirm their mailing address 
    All 4 items need to be complete in order to qualify / ensure prize is properly sent ",N,,Habbi Habbi - Bilingual books & toys with Habbi Habbi ($190) (E),Kid Camps & Activities,"Habbi Habbi Bilingual Resources (Spanish, Chinese, French, Korean, Hindi)",https://www.habbihabbi.com/,H&AL,info@habbihabbi.com,,Bilingual books & toys with Habbi Habbi ($190),Bilingual books & toys with Habbi Habbi ($190),"One (1) Reading Wand and Six (6) Bilingual Books

This prize entitles you to 1 Reading Wand + 6 Books (Habbi Habbi will choose a mix of Mandarin Chinese, Spanish, Hindi books). Not valid with any other offer. Please email info@habbihabbi.com for more details

All it takes is a tap! Just turn on the magical Reading Wand and Tap; that's it! We have bilingual books, flashcards, and puzzles. And every inch of our materials is tappable - the text, the illustration, even the white space. Tap to hear words, phrases, sound effects, or musical tunes. Kids think they're playing; Parents think they're learning. Our books are as intentional in content as they are beautiful - featuring themes like self reliance, worthiness, inclusion, empathy, and more. Our single magical, multilingual Wand works with any of our products (books, flashcards, puzzles) and any  or languages. It can also be played in 3 modes: Bilingual mode, Target language only mode, English only mode, so you can tailor your play based on your desired goals! Available in Chinese (Mandarin Simplified), Cantonese, Spanish, French, Korean, Hindi, Italian, Japanese)

Discover Habbi Habbi in 30 seconds: https://youtu.be/mH6idwNtc_U) 
Learn more at our website: https://www.habbihabbi.com/
Donated by: Habbi Habbi Bilingual Resources (Spanish, French, Mandarin, Cantonese, Korean, Hindi, Japanese, Italian) ",190,62.7,60,Online,
Niles Canyon Railway,Four (4) Train Ride Tickets ($110),Mail,Received,,Y,,Niles Canyon Railway - Four (4) Train Ride Tickets ($110),Entertainment/Activities,Niles Canyon Railway,https://www.ncry.org/,Donna Alexander,station-agent@ncry.org,,Four (4) Train Ride Tickets ($110),Four (4) Train Ride Tickets ($110),"Four (4) train ride passes on the Niles Canyon Railway

Take a train ride into history! A living museum preserving an era of California’s railroad history on part of the original Transcontinental Railroad through the San Francisco Bay Area. Join us for a scenic train ride through Niles Canyon right in the heart of the East Bay! Experience living history as you ride our historic steam and diesel powered trains while traversing the last segment of the original Transcontinental Railroad from Niles/Fremont through Niles Canyon to Sunol and beyond.

Good for any Regular Weekend Excursion Train, which operate 2nd and 3rd weekends of each month.
Roundtrip departures at at 10:30 AM and 1:00 PM, approx 1 hour and 20 mins.

Located at 6 Kilkare Road, Sunol

ncry.org

Restrictions:
Excludes special operations such as Train of Lights, Special Steam Events, Cheese and Wine Tasting, Valentine Specials
Expires 7/18/2027
",110,36.3,35,"Sunol, CA (near Fremont)",
Rinse ,$100 Gift Certificate,Email,Received,"Once your event is completed, please have the winner reach out directly to care@rinse.com to redeem their gift card. The only thing they will need is the name of the School they won it from.",Y,,Rinse  - $100 Gift Certificate (E),"Home, Pets & Retail",Rinse,https://www.rinse.com/,,care@rinse.com,,$100 Gift Certificate,$100 Gift Certificate,"$100 Gift Certificate to Rinse

Rinse is an affordable and convenient laundry service that washes and folds laundry, provides dry cleaning services, and delivers it all to your doorstep. Say goodbye to laundry day!

Why Rinse?
• Convenience: Schedule a Rinse when you need it via text, rinse.com, or the app. Service is available 7 days a week between 8pm and 10pm — even if you're not home!
• Expert cleaning: Enjoy the extra 3 hours you save each week with Rinse while your items are expertly cleaned by masters of clothing care with decades of experience.
• Fast turnaround: Relax with delivery right to your door. Standard turnaround is 3–4 days with Rush options available .On your delivery date, we'll text you at 5:30pm with your Valet's ETA.

https://www.rinse.com/",100,33,35,San Francisco,
BookShop West Portal,$30 Gift Certfiicate,Pickup,Received,with Ted,Y,,BookShop West Portal - $30 Gift Certfiicate,"Home, Pets & Retail",BookShop West Portal,https://www.bookshopwestportal.com/,Harley,info@bookshopwestportal.com,,$30 Gift Certfiicate,$30 Gift Certfiicate,"$30 Gift Certificate

Bookshop West Portal is a locally-owned, independent bookstore located in the heart of the West Portal neighborhood of San Francisco. We have been a community meeting place since 2006. We are a group of booksellers with an enthusiasm for books and serving our community.

Located at 80 West Portal Ave, SF",30,9.9,10,San Francisco,
Plum Print,"10""x8"" Customized Book of Artwork ($175)",Email,Received,,Y,,"Plum Print - 10""x8"" Customized Book of Artwork ($175)","Art, Jewelry & Photography",Plum Print,https://www.plumprint.com/,Elysia Netter,orders@plumprint.com,,"10""x8"" Customized Book of Artwork ($175)","10""x8"" Customized Book of Artwork ($175)","Gift Certificate for one 10""x8"" custom hardcover coffee table book of your child's artwork. Includes up to 20 pieces of artwork.
 
Plum Print digitizes children's artistic creations and turns them into beautiful custom-made books, home decor and gifts.
 
1. Place your child's artwork, family recipes, old photos, love letters, awards, you name it, in the box. Fill out the submission form found in your box. Attach the prepaid label to the outside of the shipping kit, and drop at FedEx. We do the rest!
2. Our talented team of digitizers and designers professionally photograph your materials and design your book. Once your custom book is designed, we email you an electronic book proof to flip through and approve.
3. After approval, your beautiful, bound custom coffee table book is shipped directly to you (materials returned upon request).
 
Expires 3/20/2027",175,57.75,55,San Francisco,
Sam's Grill,$100 Gift Card,Mail,Pending,NEED event flyer before sending,Y,,Sam's Grill - $100 Gift Card,Food & Drink,Sam's Grill,https://samsgrill-sf.com/,,information@samsgrillsf.com,,$100 Gift Card,$100 Gift Card,"$100 Gift Card to Sam’s Grill

Sam’s Grill, the fifth-oldest restaurant in the US, opened in 1867, shortly after the California gold rush. Its first location was in the old California Market, an open-air food emporium located where the Bank of America building stands now. Historian Evelyn Wells described it as “a great bazaar under a single roof, housing fish stands, vegetable and dairy stands, beer counters and restaurants.”

Sam’s takes pride in serving exceptionally fresh and local seafood alongside classic San Francisco dishes from the turn of the century. Boasting old-school curtained booths, and superior traditional formal service by waiters in tuxedos, Sam’s has been a San Francisco classic for over 150 years.

Located at 374 Bush St.
",100,33,35,San Francisco,
House of Air,$50 Gift Card,Email,Received,,Y,,House of Air - $50 Gift Card (E),Entertainment/Activities,House of AIr,https://www.houseofair.com/,,info@houseofair.com,,$50 Gift Card,$50 Gift Card,"$50 Gift Card at House of Air

House of Air is an indoor Trampoline Park located in West Crissy Field in The Presidio of San Francisco, California. Our athletic and recreational facility is host to open trampoline jump time, aerial and physical training on trampolines, trampoline dodgeball, fitness classes and other recreation activities.

Located at 926 Mason St.

https://houseofair.com/san-francisco/

No expiration. Purchases are deducted from the gift card balance.",50,16.5,20,San Francisco,
SPARK Social SF,2-Hour Fire Pit & S'mores Rental ($150),Email,Received,,Y,,SPARK Social SF - 2-Hour Fire Pit & S'mores Rental ($150) (E),Entertainment/Activities,SPARK Social SF,https://sparksocialsf.com/,,info@sparkmissionbay.com,,2-Hour Fire Pit & S'mores Rental ($150),2-Hour Fire Pit & S'mores Rental ($150),"Two (2)-Hour Fire Pit & S'mores Rental at SPARK Social SF

Looking for something unique to do in San Francisco? Enjoy a 2-hour fire pit rental for your corporate gatherings, team outings, or happy hour! Each fire pit comes with unlimited s’mores during your reservation and can accommodate 10+ people.

SPARK Social SF is a community gathering space located in the heart of Mission Bay. We are a food truck park, beer/sangria garden, event space, and catering service designed to bring the neighborhood together for fun times, day or night. We collaborate with small businesses to ignite the spirit of community by creating warm and welcoming spaces to grub and gather. We work with over 200 food trucks from all over the Bay Area which we rotate every single day for both lunch and dinner.

Valid any day of the week, pending availability.

Located in MIssion Bay, SF

Expires 12/31/2025
",150,49.5,50,San Francisco,
Safari Run ,10-Admission Open Play Punch Card,Pickup,Received,Setting up donation pkg,Y,,Safari Run  - 10-Admission Open Play Punch Card,Entertainment/Activities,Safari Run,safarirun.com,,,,10-Admission Open Play Punch Card,10-Admission Open Play Punch Card,"Ten (10) Open Play Sessions at Safari Run

Safari Run is a family-friendly play space celebrating the fun of fitness with games and obstacle courses centered on a track and giant animal-themed jungle gym. The combination of slides, ladders, bridges, and tunnels create a space where kids can build their motor skills, balance, cardio, strength, and confidence.

Safari Run is the perfect refuge for kids to play, explore, and have a blast while parents take some time to relax, read a magazine, log onto our free Wi-Fi, or catch up with a friend all in a safe, clean and secure environment. All of our play areas are sanitized and walked through hourly to make sure your little ones enjoy playing in our safe and clean environment.
This is an unstructured play time where parent supervision is required, there is NO additional staff supervision. On our non-busier days your admission can start when you arrive. Busy days tend to be rainy days or holidays. Those days have been known to sell out so please plan accordingly. Open play time is recommended for ages 3-10.

safarirun.com

Located at 341 N Amphlett Blvd, San Mateo

Expires 9/14/2025
",170,56.1,55,San Mateo,
NOVY,$150 Gift Certificate,Email,Received,,Y,,NOVY - $150 Gift Certificate (E),Food & Drink,NOVY,https://www.novysf.com/,,holla@novysf.com,,$150 Gift Certificate,$150 Gift Certificate,"$50 Gift Certificate for NOVY

NOVY is a Greek restaurant in the San Francisco Noe Valley district. We are a family-owned and woman-run business. NOVY is our nickname for Noe Valley. We're a neighborhood restaurant serving Greek food alongside fresh California comfort food.

Located at 4000 24th St",50,16.5,15,San Francisco,
ViBO #1,Two (2) Private 30 Minute Music Lessons ($110),Email,Received,,Y,,ViBO #1 - Two (2) Private 30 Minute Music Lessons ($110) (E),Kid Camps & Activities,ViBO,www.vibomusic.com,Rian Le/Victor,vibosb@gmail.com,,Two (2) Private 30 Minute Music Lessons ($110),Two (2) Private 30 Minute Music Lessons ($110),"Two (2) Private Music Lessons at ViBO (30min each)

Founded in 2003, ViBO Music makes learning music exciting! ViBO’s team of well-qualified and enthusiastic music educators offer their expertise to our programs for aspiring musicians of all ages and levels.  Our private lessons are customized to each individual’s learning pace and musical interests and we also provide ensemble/band programs in various music genres.

Located in SF & San Bruno
Expires 12/31/2026",110,36.3,35,"SF, San Bruno",
ViBO #2,Two (2) Private 30 Minute Music Lessons ($110),Email,Received,,Y,,ViBO #2 - Two (2) Private 30 Minute Music Lessons ($110) (E),Kid Camps & Activities,ViBO,www.vibomusic.com,Rian Le/Victor,vibosb@gmail.com,,Two (2) Private 30 Minute Music Lessons ($110),Two (2) Private 30 Minute Music Lessons ($110),"Two (2) Private Music Lessons at ViBO (30min each)

Founded in 2003, ViBO Music makes learning music exciting! ViBO’s team of well-qualified and enthusiastic music educators offer their expertise to our programs for aspiring musicians of all ages and levels.  Our private lessons are customized to each individual’s learning pace and musical interests and we also provide ensemble/band programs in various music genres.

Located in SF & San Bruno
Expires 12/31/2026",110,36.3,35,"SF, San Bruno",
New Conservatory Theatre Center,Two (2) Tickets ($100),Email,Received,,Y,,New Conservatory Theatre Center - Two (2) Tickets ($100) (E),Entertainment/Activities,New Conservatory Theatre Center,https://nctcsf.org/,Scott Tignor,BOXOFFICE@nctcsf.org,,Two (2) Tickets ($100),Two (2) Tickets ($100),"Two (2) tickets to any NCTC regular mainstage season show.

New Conservatory Theatre Center (NCTC) has been in operation since 1981. Still led by its Founding Artistic Director, Ed Decker, NCTC provides the San Francisco community with high quality youth education programming, Queer & Allied theatre, children’s theatre, new work commissions and emerging artists residencies that support local and national artists. 

Show listings:
https://nctcsf.org/25-26-season/

Located at 25 Van Ness Ave

Not valid for special engagements, including Katya: A Holiday Spectacular.

Expires 6/7/2026
",100,33,40,San Francisco,
Presidio Bowl,Certificate - 1 Lane for 1 Hour ($135),Mail,Received,,Y,,Presidio Bowl - Certificate - 1 Lane for 1 Hour ($135),Entertainment/Activities,Presidio Bowl,http://www.presidiobowl.com/,Cris ,donations@presidiobowl.com,,Certificate - 1 Lane for 1 Hour ($135),Certificate - 1 Lane for 1 Hour ($135),"Party Certificate for One (1) Lane for One (1) Hour

You and your guests will receive one hour of unlimited bowling on one lane. Rental shoes included! Maximum of 6 people. 

Presidio Bowling Center features 12 lanes of bowling with Qubica automatic scoring, bumpers for children on all of our lanes (kids 8 years and younger only please). We offer a full menu in our grill and over 50 different beers and 19 different wines in our bar.

Located at 93 Moraga Ave @Montgomery, SF

Presidiobowl.com

Expires 6/30/2028",135,44.55,45,San Francisco,
Bintang Badminton,One (1) Week of Badminton Summer Camp ($360),Email,Received,connect winner with Mona Sheung,Y,,Bintang Badminton - One (1) Week of Badminton Summer Camp ($360) (E),Kid Camps & Activities,Bintang Badminton,https://bintangbadminton.org/,Mona Sheung,mona@bintangbadminton.org ,,One (1) Week of Badminton Summer Camp ($360),One (1) Week of Badminton Summer Camp ($360),"One (1) week of badminton summer camp at Bintang Badminton

Whether your child is just a beginner wanting to learn the sport or has played high school badminton and shooting to become more competitive, we have the right camp programs available. We offer weekly camps throughout the summer, with a morning session 9am-12pm and an afternoon session 1pm-4pm. Come and experience the thrill of playing badminton at Bintang Badminton in Burlingame!

Winner will follow all general summer camp rules on the website. 

Fine print:
Must redeem between June to August 2026 summer camp season
Weekly summer camp session must be used in a single week.  There is no refund for unused classes.

Located at 1524 Rollins Rd, Burlingame
",360,118.8,120,Burlingame,
Little Oceanauts,Gift Certificate for Eight (8) Play Passes ($110),Email,Received,,Y,,Little Oceanauts - Gift Certificate for Eight (8) Play Passes ($110) (E),Kid Camps & Activities,Little Oceanauts,https://www.littleoceanauts.com/,,info@littleoceanauts.com,,Gift Certificate for Eight (8) Play Passes ($110),Gift Certificate for Eight (8) Play Passes ($110),"Gift Certificate for Open Play Multipack good for eight (8) play passes at Little Oceanauts.

Fun indoor play place for kids. There are several levels to the main play structure and they have a variety of activities for the kids to enjoy.

This certificate expires on 8/16/2026, however, the open play passes WILL NOT expire once redeemed.

Offer cannot be combined with ANY other promotion at Little Oceanauts, Inc.
Located at 1917 Ocean Ave
",110,36.3,35,San Francisco,
San Francisco Playhouse,Two (2) Premium Seats ($270),Email,Received,,Y,,San Francisco Playhouse - Two (2) Premium Seats ($270) (E),Entertainment/Activities,San Francisco Playhouse,https://www.sfplayhouse.org/sfph/,,info@sfplayhouse.org,,Two (2) Premium Seats ($270),Two (2) Premium Seats ($270),"Two (2) Premium seats for any San Francisco Playhouse production

Founded by Bill English and Susi Damilano as a non-profit 501(c)3 organization in 2003, San Francisco Playhouse is the Bay Area’s premiere mid-sized theatre company. Staging six plays and musicals per year at its 199-seat Mainstage theatre on Post Street, as well as three world premieres per year at intimate stages in downtown San Francisco, the Playhouse presents over 400 performances per year.

Excludes Opening Nights

Located at 450 Post St.

Expires 3/20/2027
",250,82.5,80,San Francisco,
Children's Museum of Sonoma County,Four (4) Guest Passes ($72),Mail,Received,,Y,,Children's Museum of Sonoma County - Four (4) Guest Passes ($72),Entertainment/Activities,Children's Museum of Sonoma County,www.cmosc.org,Chloe Moore,info@cmosc.org,,Four (4) Guest Passes ($72),Four (4) Guest Passes ($72),"Four (4) Guest Passes to Children’s Museum of Sonoma County

Enjoy free admission for four (4) to the Children’s Museum of Sonoma County, which inspires curiosity and creativity through joyful, transformative experiences. With interactive exhibits designed for children ages ten and younger, the Children’s Museum is the perfect destination to learn, play and explore.
www.cmosc.org

Located at 1835 W. Steele Lane, Santa Rosa

No expiration",64,21.12,20,Sonoma,
Waterworks Aquatics,Four (4) Semi-Private Swim Lessons ($233),Email,Received,,Y,,Waterworks Aquatics - Four (4) Semi-Private Swim Lessons ($233) (E),Kid Camps & Activities,Waterworks Aquatics,https://www.waterworksswim.com/,Nancy Tlaseca,nancy@waterworksswim.com,,Four (4) Semi-Private Swim Lessons ($233),Four (4) Semi-Private Swim Lessons ($233),"Four (4) Semi-private swim lessons at Waterworks Aquatics

Semi-private swim classes are a great way to introduce your child to the fun of swimming. Our semi-private lessons provide a small class setting, which accelerates the learning process. Students ages 2.5 to 13 will receive one-on-one instruction from our experienced instructors. With only two children in each class, our semi-private swim lessons allow students to interact with siblings, friends or others of similar age and ability level. Semi-private swim lessons are fast-paced with little down time, so that each swimmer can build a strong swimming foundation. Additionally, our swimming instructors encourage students to observe their peers, increasing the likelihood of participation and reinforcing skill retention.

Located at City Sports Stonestown
3201 20th Ave., San Francisco, CA 94132 

Restrictions:
Certificate valid for new families only
Only valid at Waterworks Aquatics San Francisco
Expires 9/1/2026",116,38.28,40,San Francisco,
De Young / Legion of Honor,Four (4) Guest Passes ($80),Mail,Pending,MAILED TO EC,Y,,De Young / Legion of Honor - Four (4) Guest Passes ($80),Entertainment/Activities,Fine Arts Museums of San Francisco,https://www.famsf.org/,,ticketdonations@famsf.org,,Four (4) Guest Passes ($80),Four (4) Guest Passes ($80),"Four (4) general admission guest passes for the Legion of Honor or De Young Museum.

Together, the de Young in Golden Gate Park and the Legion of Honor in Lincoln Park make up the Fine Arts Museums of San Francisco, the largest public arts institution in the city and one of the largest art museums in the United States. Both sit on the land of the Ramaytush Ohlone, the original inhabitants of the San Francisco Peninsula.

Opened in 1895, the de Young is home to American art from the 17th century through today, textile arts and costumes, African art, Oceanic art, arts of the Americas, and international contemporary art. Opened in 1924, the Legion of Honor showcases European painting, sculpture, and decorative arts, ancient art, graphic arts, and contemporary art.

Located at 50 Hagiwara Tea Garden Drive in Golden Gate Park

**Restrictions:**
*   Children age 17 and under are admitted for free.
*   No expiration.
*   May be applied towards the purchase of one special exhibition ticket",80,26.4,25,San Francisco,
